"row data no longer exist.","row data no longer exist."
"Edit Mapping","Edit Mapping"
"Add Mapping","Add Mapping"
"Manage Shipping and Payment Mapping","Manage Shipping and Payment Mapping"
"Mapping(s) deleted succesfully","Mapping(s) deleted succesfully"
"Something went wrong","Something went wrong"
"Shipping Method is Required","Shipping Method is Required"
"Please Select at least one payment method","Please Select at least one payment method"
"Mapping Already exist","Mapping Already exist"
"The Mapping has been saved successfully","The Mapping has been saved successfully"
"Select Shipping Method","Select Shipping Method"
"Select Payment Method","Select Payment Method"
View,View
"Select Shipping ","Select Shipping "
"Select Payment Methods ","Select Payment Methods "
Webkul,Webkul
"Shipping and Payment Restriction","Shipping and Payment Restriction"
"Enable Module","Enable Module"
"Enable Module on Frontend","Enable Module on Frontend"
"Webkul Shipping and Payment Restriction ","Webkul Shipping and Payment Restriction "
"Mapping Information","Mapping Information"
Save,Save
"Map Shipping With Payments","Map Shipping With Payments"
"Select Shipping Methods","Select Shipping Methods"
"Select Payment Methods","Select Payment Methods"
Delete,Delete
"Are you sure you want to Delete selected items?","Are you sure you want to Delete selected items?"
ID,ID
"Shipping Method","Shipping Method"
"Payment Shipping Mapping","Payment Shipping Mapping"
"Payment and Shipping Mapping","Payment and Shipping Mapping"
"Webkul Shipping and Payment Restriction","Webkul Shipping and Payment Restriction"
"Select Shipping","Select Shipping"
"Select Payment","Select Payment"
"Action","Action"
Created,Created
Modified,Modified
