"Read error!","Read error!"
"Author: ","Author: "
"Version: ","Version: "
"User Guide: ","User Guide: "
"Store Extension: ","Store Extension: "
"Ticket/Customisations: ","Ticket/Customisations: "
"Services: ","Services: "
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"Refund request has been generated successfully.","Refund request has been generated successfully."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Order place error","Order place error"
"There is an error in making payment with PhonePe payment method. Please contact the admin.","There is an error in making payment with PhonePe payment method. Please contact the admin."
"Something went wrong with the payment.","Something went wrong with the payment."
"Cannot create an invoice.","Cannot create an invoice."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"UAT Sandbox","UAT Sandbox"
PRODUCTION,PRODUCTION
"Place Order","Place Order"
PhonePe,PhonePe
"Configuration Settings","Configuration Settings"
"PhonePe Payment Method","PhonePe Payment Method"
Enable,Enable
Title,Title
Environment,Environment
"Merchant Id","Merchant Id"
"Salt Key","Salt Key"
"Salt Index","Salt Index"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Show product information","Show product information"
